,Tên Việt Nam,Tên Khoa học,Bộ,Lớp,Họ,Ngành,Dạng sống,Sinh cảnh,Bộ phận dùng,Công dụng,
1,Ba chạc,Euodia lepta (Spreing) Merr.,Cam Rutales,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân bụi,Ven rừng,Lá và rễ ,"chữa ghẻ, mọn nhọt, phong thấp, đau nhức xương tê bại, bán thân bất toại và điều hoà kinh nguyệt",
2,Ba gạc,Rauvolfia vietnamensis Ly,Long đởm Gentianales,Ngọc lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Rễ,"chữa cao huyết áp, tim mạch",
3,Ba gạc lá to,Rauvolfia combodiana Pierre ex Pitard.,Long đởm Gentianales,Ngọc lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Vỏ rễ và rễ,"chữa huyết áp, tim mạch",
4,Ba kích,Morinda officinalis F. C. How,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Dây leo,Ven rừng,Rễ,"chữa liệt dương, sưng tấy, thấp khớp ",
5,Bách Bộ,Stemona pierrei Gagnep. ,Củ nâu Dioscoreales,Hành,StemonaceaeBách bộ ,Ngọc Lan Magnoliophyta,Dây leo,"Ven rừng, vườn nhà",củ,Làm thuốc ho và tẩy giun kim,
6,Bạch chỉ,Angelica dahurica Benth et Hook f.,Hoa tán Apiales,Ngọc Lan,Apiaceae Hoa tán  ,Ngọc Lan Magnoliophyta,Thân thảo,"rừng, vườn nhà",củ,"Chữa cảm sốt, nhức đầu, viêm mũi, đau răng, đau nhức xương khớp.",
7,Bạch Đồng Nữ,Clerodendrun viscosum Vent.,Hoa môi Lamiales,Ngọc Lan,Verbenaceae Cỏ roi ngựa  ,Ngọc Lan Magnoliophyta,Thân bụi," ven suối, ven đường",Rễ,"Dùng tắm ghẻ, mụn nhọt, chữa khí hư",
8,Báng,Arenga pinnata (Wurmb) Merr,Cau Arecales,Hành,Arecaceae Cau ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Quả, thân và rễ ","đau nhức xương, cảm sốt, rễ trị viêm cuống phổi và làm dễ tiêu hoá",
9,Bảy lá một hoa,Paris polyphylla   Smith,Củ nâu Dioscoreales,Hành,Trilliaceae Vương tôn ,Ngọc Lan Magnoliophyta,Thân thảo,Rừng,"Thân, rễ","Ho. Khử đờm, thuốc bổ",
10,Bí bái,Acronychia pedunculata (L.) Miq. ,Cam Rutales,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,"ven rừng, đồi núi","thân, rễ, lá, củ","phong thấp, cảm sốt, ho, viêm",
11,Bí ngô,Cucurbitamaxima Duch. ex Lam.,Bầu bí Cucurbitales,Ngọc Lan,Cucurbitaceae Bầu bí ,Ngọc Lan Magnoliophyta,Dây leo,vườn nhà,"quả, hạt","Trị giun sán, đau đầu, giảm sưng",
12,Bình Vôi,Stephania rotunda Lour.,Mao lương Ranunculales,ngọc lan,Menispermaceae Tiết dê ,Ngọc Lan Magnoliophyta,Dây leo,"ven rừng, đồi núi",Củ,"an thần, gây ngủ; hạ đường huyết",
13,Bồ công anh cao,Lactuca indica L.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Lá,"Chữa sưng vú, tắc tia sữa, mụn nhọt, ăn uống kém tiêu",
14,Bồ công anh thấp,Taraxacum officinale Wigg.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Rễ,"Lọc máu, chống viêm.",
15,Bổ cốt toái ,Drynaria fortunei (Kuntze ex Mett.) J. Smith,Dương xỉ Polypodiales,Dương xỉ,Polypodiaceae Ráng  ,Dương xỉ Polypodiophyta,Thân thảo,"rừng, ven suối",Rễ,"Đau lưng, đau nhức xương khớp, thận, bó gãy xương",
